name,ages,location,id,desc,detail_url,total_open,age_max_year,age_max_month,age_max_week,age_min_year,age_description,days_of_week,time_range_landing_page,date_range_start,date_range_end,date_range,number,time_range
"3D Design, Augmented and Virtual Reality – Wize Academy",At least 6 but less than 14,Bridlewood Cmty Elementary School,73844,"Children use the Co-Spaces EDU tool to create AR/VR interactive content and learn coding. They will explore the creation of virtual tours, storytelling, games and simulations in multiple dimensions (3D, voiceover, music, video). Program offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-design-augmented-and-virtual-reality-wize-academy/73844,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,79251,12:30 PM - 4:00 PM
"3D Design, Augmented and Virtual Reality – Wize Academy",At least 6 but less than 14,Bridlewood Cmty Elementary School,73873,"Children use the Co-Spaces EDU tool to create AR/VR interactive content and learn coding. They will explore the creation of virtual tours, storytelling, games and simulations in multiple dimensions (3D, voiceover, music, video). Program offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-design-augmented-and-virtual-reality-wize-academy/73873,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,79280,12:30 PM - 4:00 PM
"3D Design, Augmented and Virtual Reality – Wize Academy",At least 6 but less than 14,Huntley Cmty Centre,81884,"Children use the Co-Spaces EDU tool to create AR/VR interactive content and learn coding. They will explore the creation of virtual tours, storytelling, games and simulations in multiple dimensions (3D, voiceover, music, video). Program offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-design-augmented-and-virtual-reality-wize-academy/81884,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,87291,12:30 PM - 4:00 PM
3D Game Programmer,At least 8 but less than 11,Fallingbrook Elementary School,76404,"Create your own 3D worlds, choosing characters and enemies to program your game. Three different PC games that can be taken home and shared. Software to create your own games at home. Half-day of computer and half-day camp activities.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-game-programmer/76404,20,11,0,0,8,"Age at least 8 yrs but less than 11 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,81811,8:00 AM - 5:00 PM
3D Game Programmer,At least 8 but less than 11,St-Laurent Cplx,84400,"Create your own 3D worlds, choosing characters and enemies to program your game. Three different PC games that can be taken home and shared. Software to create your own games at home. Half-day of computer and half-day camp activities.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-game-programmer/84400,20,11,0,0,8,"Age at least 8 yrs but less than 11 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,89807,8:00 AM - 5:00 PM
3D Modeling Factory,At least 10 but less than 15,St-Laurent Cplx,84409,Learn skills in 3D modeling and animation. Gain new skills in modeling characters and see how projects can be brough into a 3D game and how to animate them.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-modeling-factory/84409,20,15,0,0,10,"Age at least 10 yrs but less than 15 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,89816,8:00 AM - 5:00 PM
3D Modeling Factory,At least 10 but less than 15,Fallingbrook Elementary School,76406,Learn skills in 3D modeling and animation. Gain new skills in modeling characters and see how projects can be brought into a 3D game and how to animate them.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-modeling-factory/76406,20,15,0,0,10,"Age at least 10 yrs but less than 15 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,81813,8:00 AM - 5:00 PM
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Exact Barrhaven School Location TBC when permits are issued.,78646,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/78646,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Tue,Wed,Thu,Fri",9:00 AM - 12:30 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,84053,9:00 AM - 12:30 PM
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Exact Barrhaven School Location TBC when permits are issued.,78750,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/78750,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,84157,12:30 PM - 4:00 PM
3D Printing and Designing – Wize Academy,At least 6 but less than 14,"Tanglewood Community Building, 30 Woodfield",82552,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/82552,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu",12:30 PM - 4:00 PM,2024-07-15,2024-07-18,15 July 2024 to 18 July 2024,87959,12:30 PM - 4:00 PM
3D Printing and Designing – Wize Academy,At least 6 but less than 15,CardelRec Cplx (Goulbourn),83519,"<div><div><div>3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</div></div></div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/83519,20,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-03-11,2024-03-15,11 March 2024 to 15 March 2024,88926,12:30 PM - 4:00 PM
