name,ages,location,id,desc,detail_url,total_open,age_description,time_range_landing_page,date_range_start,date_range_end,date_range,time_range,number,days_of_week
"3D Design, Augmented and Virtual Reality – Wize Academy",At least 6 but less than 14,Bridlewood Cmty Elementary School,73844,"Children use the Co-Spaces EDU tool to create AR/VR interactive content and learn coding. They will explore the creation of virtual tours, storytelling, games and simulations in multiple dimensions (3D, voiceover, music, video). Program offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-design-augmented-and-virtual-reality-wize-academy/73844,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,12:30 PM - 4:00 PM,79251,"Mon,Tue,Wed,Thu,Fri"
"3D Design, Augmented and Virtual Reality – Wize Academy",At least 6 but less than 14,Bridlewood Cmty Elementary School,73873,"Children use the Co-Spaces EDU tool to create AR/VR interactive content and learn coding. They will explore the creation of virtual tours, storytelling, games and simulations in multiple dimensions (3D, voiceover, music, video). Program offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-design-augmented-and-virtual-reality-wize-academy/73873,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,12:30 PM - 4:00 PM,79280,"Mon,Tue,Wed,Thu,Fri"
"3D Design, Augmented and Virtual Reality – Wize Academy",At least 6 but less than 14,Huntley Cmty Centre,81884,"Children use the Co-Spaces EDU tool to create AR/VR interactive content and learn coding. They will explore the creation of virtual tours, storytelling, games and simulations in multiple dimensions (3D, voiceover, music, video). Program offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-design-augmented-and-virtual-reality-wize-academy/81884,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,12:30 PM - 4:00 PM,87291,"Mon,Tue,Wed,Thu,Fri"
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Exact Barrhaven School Location TBC when permits are issued.,78646,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/78646,20,"Age at least 6 yrs but less than 14 yrs,",9:00 AM - 12:30 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,9:00 AM - 12:30 PM,84053,"Tue,Wed,Thu,Fri"
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Exact Barrhaven School Location TBC when permits are issued.,78750,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/78750,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,12:30 PM - 4:00 PM,84157,"Mon,Tue,Wed,Thu,Fri"
3D Printing and Designing – Wize Academy,At least 6 but less than 14,"Tanglewood Community Building, 30 Woodfield",82552,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/82552,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-07-15,2024-07-18,15 July 2024 to 18 July 2024,12:30 PM - 4:00 PM,87959,"Mon,Tue,Wed,Thu"
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Bridlewood Cmty Elementary School,73808,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/73808,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,12:30 PM - 4:00 PM,79215,"Mon,Tue,Wed,Thu,Fri"
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Richcraft Rec Complex-Kanata,85041,"3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/85041,20,"Age at least 6 yrs but less than 14 yrs,",12:30 PM - 4:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,12:30 PM - 4:00 PM,90448,"Mon,Tue,Wed,Thu,Fri"
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Richcraft Rec Complex-Kanata,85047,"3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/85047,20,"Age at least 6 yrs but less than 14 yrs,",9:00 AM - 12:30 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,9:00 AM - 12:30 PM,90454,"Mon,Tue,Wed,Thu,Fri"
Animal Planet,At least 6 but less than 13,Pat Clark Cmty Centre,69193,"Learn about animals and bugs with special guests, excursions along with games and activities.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animal-planet/69193,25,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,8:00 AM - 5:00 PM,74600,"Tue,Wed,Thu,Fri"
